body_temperature,breed_type,milk_production,respiratory_rate,walking_capacity,sleeping_duration,body_condition_score,heart_rate,eating_duration,lying_down_duration,ruminating,rumen_fill,faecal_consistency,health_status
39.3,Normal Breed,5.1,14,5852,6.9,3,54,1.7,16.4,3.0,2,Fresh blood in faeces,unhealthy
40.6,Normal Breed,14.7,18,11261,7.2,3,58,2.1,12.9,3.3,2,ideal,healthy
39.0,Normal Breed,5.1,14,6866,6.9,3,52,1.3,16.4,3.1,2,Black faeces,unhealthy
38.2,Normal Breed,10.7,43,12151,3.5,2,83,1.7,13.8,5.4,3,ideal,healthy
38.9,Normal Breed,6.7,14,5004,7.0,2,53,1.4,16.4,3.9,2,very liquid faeces,unhealthy
38.7,Normal Breed,20.3,43,10249,4.5,5,83,2.0,14.2,6.2,3,ideal,healthy
39.8,Cross Breed,5.1,14,5004,7.0,2,55,1.4,16.4,4.4,3,Fresh blood in faeces,unhealthy
38.9,Cross Breed,19.5,48,11426,5.1,5,83,2.6,14.6,5.4,2,ideal,healthy
39.8,Normal Breed,5.1,14,5004,7.2,3,52,2.4,16.4,3.5,2,ideal,unhealthy
38.5,Normal Breed,21.2,47,12148,4.0,5,68,3.8,13.2,4.0,3,ideal,healthy
39.5,Normal Breed,9.2,14,5004,6.3,2,46,1.3,16.4,3.6,2,very liquid faeces,unhealthy
38.7,Normal Breed,17.3,48,10725,3.9,5,58,1.8,13.4,5.1,3,ideal,healthy
38.9,Normal Breed,19.6,47,11201,4.4,5,83,2.5,13.9,6.8,2,ideal,healthy
38.7,Normal Breed,12.9,33,11507,4.3,3,70,3.2,13.1,4.4,2,ideal,healthy
38.2,Normal Breed,13.6,49,12605,3.9,5,83,3.8,14.7,5.9,2,ideal,healthy
39.7,Normal Breed,10.4,23,11150,4.5,2,54,2.1,13.6,6.8,3,Black faece,unhealthy
39.3,Cross Breed,5.1,16,5004,7.1,3,51,1.7,16.4,3.0,1,Black faeces,unhealthy
39.4,Normal Breed,5.1,16,5004,7.1,3,47,1.3,16.2,3.0,2,Fresh blood in faeces,unhealthy
38.7,Normal Breed,22.1,26,10408,4.3,5,53,2.4,13.1,5.9,1,ideal,healthy
39.9,Normal Breed,12.6,14,5523,7.2,2,48,1.3,16.4,4.0,3,Fresh blood in faeces,unhealthy
38.5,Normal Breed,21.6,35,11203,4.1,5,83,1.9,14.8,6.2,2,ideal,healthy
39.7,Cross Breed,5.1,20,5004,7.2,2,49,1.4,16.1,3.7,2,Fresh blood in faeces,unhealthy
38.5,Normal Breed,12.0,40,5004,3.5,5,43,1.6,14.8,4.1,2,ideal,unhealthy
40.4,Cross Breed,8.9,14,5004,6.5,5,47,2.0,16.4,3.5,3,extremely firm,unhealthy
39.6,Cross Breed,12.9,14,11845,3.0,2,51,1.4,16.3,5.8,3,ideal,unhealthy
38.4,Normal Breed,14.3,18,10866,7.1,5,63,2.7,14.4,5.2,3,ideal,unhealthy
38.3,Normal Breed,14.3,22,11626,4.6,3,61,3.0,12.9,6.1,2,ideal,healthy
38.4,Cross Breed,12.1,16,5004,4.1,3,67,1.6,10.3,4.8,3,ideal,healthy
40.1,Normal Breed,5.1,14,5004,7.2,4,42,2.4,16.1,4.0,2,very liquid faeces,unhealthy
38.4,Normal Breed,15.1,25,11184,3.7,3,49,1.7,13.2,5.2,2,ideal,healthy
37.9,Normal Breed,8.7,16,11634,6.2,3,54,1.3,14.8,7.0,5,ideal,healthy
39.7,Normal Breed,13.1,25,5004,6.7,1,52,1.3,16.3,4.1,2,Black faeces,unhealthy
39.5,Normal Breed,5.6,14,5336,6.6,3,55,1.5,16.4,3.9,3,Black faeces,unhealthy
39.6,Cross Breed,8.5,16,5004,7.0,5,46,1.3,16.3,3.0,3,Black faeces,unhealthy
39.9,Normal Breed,11.2,24,5004,4.5,5,51,2.1,14.3,6.0,1,ideal,healthy
38.5,Cross Breed,10.6,24,11425,3.5,5,83,2.3,14.9,5.4,3,ideal,healthy
38.6,Normal Breed,25.1,28,11095,3.3,5,69,3.4,13.7,5.9,3,ideal,healthy
39.6,Cross Breed,7.2,26,5004,7.0,3,45,1.5,15.6,4.1,3,ideal,healthy
39.9,Normal Breed,5.5,14,5004,7.2,2,44,1.3,16.3,4.2,2,Fresh blood in faeces,unhealthy
38.5,Normal Breed,21.0,34,12170,3.7,5,80,3.1,12.4,5.1,1,ideal,healthy
39.3,Normal Breed,14.6,15,11681,4.4,2,52,3.2,16.0,5.0,3,extremely firm,healthy
38.7,Cross Breed,10.7,42,10758,4.8,5,76,1.7,14.0,6.0,3,very liquid faeces,healthy
38.8,Normal Breed,17.0,24,10739,4.7,5,73,3.5,13.2,5.7,2,ideal,healthy
39.7,Normal Breed,11.7,24,5297,4.4,2,49,2.6,13.0,3.0,3,ideal,unhealthy
39.9,Cross Breed,7.0,17,5577,5.8,2,46,1.3,16.4,3.0,3,extremely firm,unhealthy
38.6,Cross Breed,10.0,29,10853,6.2,3,83,1.3,14.3,3.0,1,ideal,healthy
39.9,Normal Breed,6.9,14,5004,7.2,2,44,2.1,16.4,5.2,2,ideal,unhealthy
39.7,Normal Breed,22.6,32,11991,4.2,2,77,2.4,14.3,5.2,3,ideal,healthy
39.2,Cross Breed,11.0,21,6063,6.5,2,54,1.3,16.4,3.3,1,Fresh blood in faeces,unhealthy
39.2,Normal Breed,15.6,14,5064,7.2,2,50,2.1,15.6,6.0,2,Black faeces,unhealthy
39.5,Normal Breed,6.0,14,5004,7.2,3,38,2.0,16.3,3.0,1,Fresh blood in faeces,unhealthy
38.5,Cross Breed,20.8,34,11155,3.1,3,82,4.2,14.1,3.3,4,ideal,healthy
40.2,Normal Breed,5.8,14,5134,7.2,2,45,1.9,16.4,3.2,2,Fresh blood in faeces,unhealthy
38.2,Normal Breed,10.4,28,12250,4.0,5,71,4.5,14.2,6.2,2,ideal,healthy
38.3,Cross Breed,12.9,21,12942,4.3,5,73,2.5,13.4,3.2,2,Fresh blood in faeces,unhealthy
38.5,Cross Breed,22.0,25,10460,4.2,5,77,3.0,14.0,6.8,4,ideal,healthy
38.2,Normal Breed,21.5,37,10896,4.2,5,63,2.5,14.2,3.0,2,ideal,healthy
40.5,Cross Breed,9.5,24,5004,7.1,2,58,1.3,16.4,5.4,3,very liquid faeces,unhealthy
37.9,Normal Breed,12.0,34,10744,7.2,2,49,1.3,13.8,4.4,4,ideal,healthy
40.2,Cross Breed,13.5,18,6980,4.8,3,81,4.0,13.9,4.8,4,ideal,healthy
38.1,Normal Breed,23.7,33,11715,4.2,2,83,2.8,13.7,6.6,3,ideal,healthy
40.6,Cross Breed,11.4,20,11162,4.1,3,62,2.8,13.9,5.0,2,ideal,unhealthy
39.1,Cross Breed,9.6,14,6700,6.6,5,57,1.4,16.4,3.5,1,extremely firm,unhealthy
39.5,Normal Breed,14.9,25,10588,7.1,5,49,2.4,14.4,6.0,3,ideal,healthy
40.1,Normal Breed,5.3,14,5004,7.2,3,57,2.6,16.4,3.2,2,very liquid faeces,unhealthy
38.5,Normal Breed,21.5,49,12333,4.1,5,83,2.4,13.9,5.3,2,ideal,healthy
40.1,Normal Breed,8.6,14,5004,7.2,3,53,1.6,16.4,3.0,2,Fresh blood in faeces,unhealthy
40.2,Normal Breed,12.1,18,10341,3.3,5,44,1.7,16.4,4.0,3,ideal,healthy
38.1,Normal Breed,21.8,47,11927,4.1,5,70,3.3,14.4,5.4,2,ideal,healthy
39.0,Cross Breed,5.1,14,5004,7.2,2,44,1.3,15.4,3.0,2,Fresh blood in faeces,unhealthy
38.1,Normal Breed,11.1,27,12752,3.7,3,51,2.1,16.4,3.0,2,extremely firm,unhealthy
38.5,Normal Breed,22.2,26,10866,4.1,3,69,3.3,13.9,4.4,3,ideal,healthy
38.1,Normal Breed,19.3,43,12416,4.5,3,83,2.3,14.6,5.2,3,ideal,unhealthy
39.5,Normal Breed,5.1,24,5401,6.8,1,55,1.6,16.4,3.3,1,extremely firm,unhealthy
38.4,Normal Breed,23.5,43,10814,3.7,3,77,2.9,14.1,6.3,2,ideal,healthy
38.3,Cross Breed,10.8,45,11098,3.8,5,70,2.1,13.9,3.7,2,Fresh blood in faeces,unhealthy
38.2,Normal Breed,11.4,45,12937,4.1,3,79,3.5,14.8,5.8,2,ideal,healthy
38.6,Normal Breed,24.2,43,12203,4.7,3,49,3.3,13.8,6.0,2,ideal,healthy
38.9,Normal Breed,12.0,29,10239,4.7,3,70,3.2,12.1,6.1,4,ideal,unhealthy
39.3,Normal Breed,5.7,14,5004,7.2,5,51,2.1,16.4,4.1,2,Fresh blood in faeces,unhealthy
38.3,Cross Breed,15.4,17,12228,3.7,5,83,3.5,14.5,6.3,3,ideal,healthy
38.1,Normal Breed,24.6,23,11324,4.2,5,65,2.7,13.6,5.2,3,ideal,healthy
38.6,Cross Breed,9.0,31,11153,4.2,3,83,3.1,13.9,4.6,2,ideal,healthy
39.8,Normal Breed,5.1,18,5004,7.1,5,46,1.5,16.4,3.9,2,extremely firm,healthy
38.3,Normal Breed,14.1,38,12344,3.9,3,48,2.9,13.7,4.9,2,ideal,healthy
39.6,Normal Breed,15.2,18,5004,6.1,3,50,1.4,16.4,4.7,3,ideal,unhealthy
38.2,Normal Breed,22.7,46,10767,3.4,2,65,2.7,13.6,5.0,3,ideal,healthy
38.3,Normal Breed,13.1,38,11324,3.7,3,78,2.2,12.9,6.7,2,ideal,healthy
39.7,Cross Breed,5.1,19,5004,7.2,2,47,1.3,16.4,4.3,3,very liquid faeces,unhealthy
39.1,Cross Breed,5.1,14,5004,7.2,3,48,1.7,16.4,3.0,3,Fresh blood in faeces,unhealthy
38.6,Normal Breed,12.4,14,12080,4.2,5,77,3.2,13.3,4.7,1,Black faeces,healthy
39.7,Cross Breed,9.2,18,10868,3.6,1,83,1.8,14.4,6.4,2,ideal,unhealthy
38.3,Normal Breed,25.9,34,10703,4.0,5,62,3.4,14.5,5.9,3,ideal,healthy
38.8,Normal Breed,15.5,34,10285,4.0,4,77,3.6,14.1,5.0,3,ideal,healthy
37.7,Cross Breed,11.2,37,12203,3.3,5,55,2.7,14.2,4.0,2,ideal,healthy
40.3,Cross Breed,14.0,18,12220,7.0,5,44,1.4,14.4,4.4,2,Fresh blood in faeces,unhealthy
40.0,Cross Breed,5.1,14,5004,6.9,1,50,1.3,16.3,4.4,3,Fresh blood in faeces,unhealthy
40.0,Normal Breed,15.7,14,5004,6.9,5,46,2.0,15.8,3.0,3,extremely firm,healthy
40.1,Cross Breed,14.2,14,5004,6.8,2,46,1.3,16.0,3.5,2,Black faeces,unhealthy
39.5,Normal Breed,15.6,33,5157,6.8,1,52,1.3,15.1,5.3,3,ideal,healthy
39.7,Normal Breed,7.9,14,5557,7.2,2,42,1.6,16.4,3.8,2,Fresh blood in faeces,unhealthy
39.7,Normal Breed,8.6,14,6869,7.2,3,49,1.3,16.4,3.0,3,extremely firm,unhealthy
39.8,Normal Breed,6.7,14,5004,6.4,5,52,1.7,16.4,4.4,3,very liquid faeces,unhealthy
38.9,Normal Breed,5.1,19,6225,7.2,5,46,1.7,16.4,4.4,2,Fresh blood in faeces,unhealthy
40.2,Cross Breed,5.1,14,5004,6.8,2,47,1.3,16.4,3.0,2,Black faeces,unhealthy
40.0,Normal Breed,14.7,18,5004,4.3,5,43,1.9,13.1,4.9,2,extremely firm,unhealthy
38.2,Normal Breed,21.6,49,10918,4.1,5,77,1.7,14.9,6.4,2,ideal,healthy
38.0,Cross Breed,14.7,35,11048,3.7,2,62,2.4,12.2,6.0,2,ideal,healthy
40.2,Cross Breed,6.9,15,5004,7.2,2,46,1.7,15.9,3.7,3,extremely firm,unhealthy
39.6,Normal Breed,7.1,15,5004,7.2,5,47,1.3,16.4,3.0,3,Black faeces,unhealthy
38.5,Normal Breed,22.9,30,11518,4.7,3,74,2.8,13.3,5.7,3,ideal,healthy
38.2,Normal Breed,10.9,36,12518,4.3,5,73,2.5,12.7,4.0,2,extremely firm,healthy
40.4,Normal Breed,13.6,24,5337,6.6,1,50,1.3,14.0,4.6,2,Black faeces,unhealthy
40.1,Normal Breed,19.2,21,5189,3.4,5,47,2.4,14.6,5.0,1,ideal,unhealthy
39.9,Normal Breed,13.9,29,5004,6.5,5,47,1.5,16.4,3.0,2,ideal,unhealthy
39.2,Normal Breed,17.2,14,5840,6.8,2,50,1.3,16.2,3.5,1,extremely firm,unhealthy
38.5,Cross Breed,14.2,25,12255,4.1,5,70,3.1,13.5,5.3,4,extremely firm,unhealthy
39.2,Normal Breed,13.5,19,5004,7.2,5,48,2.2,16.2,3.0,3,extremely firm,unhealthy
38.5,Cross Breed,21.3,28,11102,4.5,3,59,2.6,13.8,3.9,2,ideal,healthy
40.3,Normal Breed,5.1,14,5535,7.2,5,47,2.0,16.4,4.0,3,extremely firm,unhealthy
39.4,Normal Breed,9.3,27,9080,7.1,3,50,1.6,14.9,4.3,3,very liquid faeces,unhealthy
39.8,Cross Breed,10.0,14,5004,7.1,2,38,2.4,10.4,4.8,3,Black faeces,unhealthy
38.8,Normal Breed,11.0,25,5004,6.6,2,55,2.2,13.6,3.6,3,Fresh blood in faeces,unhealthy
40.3,Cross Breed,5.1,16,5004,6.8,3,41,1.7,15.3,3.7,2,Fresh blood in faeces,unhealthy
38.1,Cross Breed,11.3,14,11667,4.1,5,75,3.3,13.9,5.8,2,ideal,healthy
39.2,Normal Breed,8.7,17,5004,6.5,5,47,1.3,16.4,4.3,3,very liquid faeces,unhealthy
40.5,Normal Breed,12.2,24,11642,7.2,5,50,1.5,16.2,4.9,3,ideal,healthy
38.3,Normal Breed,8.7,40,12153,3.7,3,83,2.6,14.5,5.8,4,very liquid faeces,healthy
38.6,Normal Breed,10.7,23,5982,7.2,3,52,2.3,15.8,3.3,2,Fresh blood in faeces,unhealthy
39.5,Cross Breed,21.4,28,5004,6.2,2,45,2.4,15.1,5.6,2,ideal,healthy
39.9,Cross Breed,13.7,18,11699,4.5,2,45,3.4,13.2,5.6,3,Black faece,unhealthy
38.5,Cross Breed,11.5,14,11594,4.9,2,53,3.2,14.0,3.0,2,Fresh blood in faeces,healthy
39.7,Cross Breed,11.6,14,6018,7.2,3,43,1.7,15.7,4.8,2,extremely firm,unhealthy
39.8,Normal Breed,8.1,16,5004,7.0,5,52,2.3,15.8,3.6,2,ideal,unhealthy
38.7,Normal Breed,12.2,49,11669,4.2,5,70,2.9,14.8,4.8,3,ideal,healthy
40.4,Normal Breed,5.8,22,5004,7.1,3,48,1.3,16.4,3.0,1,ideal,unhealthy
39.7,Cross Breed,5.1,14,5188,7.2,2,58,1.3,15.8,4.9,1,very liquid faeces,unhealthy
36.7,Normal Breed,11.9,17,5447,4.0,5,50,3.0,15.7,5.8,3,ideal,healthy
38.2,Normal Breed,14.3,23,5004,6.7,3,77,3.5,15.1,6.5,3,ideal,healthy
39.9,Cross Breed,5.1,14,5004,7.2,5,45,1.5,15.3,3.0,2,very liquid faeces,unhealthy
39.7,Cross Breed,5.1,17,5004,7.2,2,59,1.3,16.4,3.8,1,very liquid faeces,unhealthy
39.9,Normal Breed,5.1,14,5395,7.2,3,51,1.7,16.4,3.0,3,Fresh blood in faeces,unhealthy
39.8,Normal Breed,10.3,15,5004,7.2,3,45,1.5,16.4,3.0,3,Black faeces,unhealthy
38.1,Cross Breed,23.3,34,11043,4.5,5,73,2.0,14.1,6.6,3,ideal,healthy
40.3,Cross Breed,9.3,18,5004,7.2,2,47,1.3,16.4,5.0,3,Fresh blood in faeces,unhealthy
38.5,Normal Breed,8.1,22,10861,3.1,5,83,2.3,13.2,6.1,3,ideal,healthy
39.9,Normal Breed,9.5,15,5004,6.8,3,54,2.0,16.4,3.3,3,Fresh blood in faeces,unhealthy
40.0,Normal Breed,13.2,17,5004,7.2,3,55,1.4,16.4,5.0,2,extremely firm,unhealthy
39.9,Normal Breed,12.3,14,5004,7.2,2,53,1.3,16.4,4.2,3,Black faeces,unhealthy
38.4,Cross Breed,18.6,25,10903,4.6,5,75,2.3,15.4,5.7,3,ideal,healthy
38.9,Cross Breed,12.0,14,7084,6.7,3,55,2.1,16.4,3.3,3,Fresh blood in faeces,unhealthy
40.6,Normal Breed,12.7,47,5425,7.2,3,47,2.6,14.0,3.6,1,ideal,healthy
37.9,Normal Breed,20.0,30,11316,3.6,5,67,2.8,13.4,4.3,2,ideal,healthy
40.0,Normal Breed,5.1,21,5004,7.2,5,44,2.8,15.6,3.3,1,ideal,unhealthy
38.0,Normal Breed,14.7,18,11438,4.2,5,46,1.4,13.7,4.1,2,ideal,unhealthy
40.0,Cross Breed,13.2,14,5004,7.2,2,46,1.3,16.4,3.1,2,Black faeces,unhealthy
38.1,Normal Breed,17.0,38,11744,4.0,3,81,2.8,13.7,6.7,3,ideal,healthy
38.5,Cross Breed,8.7,20,11522,4.4,2,52,2.3,15.7,4.0,3,very liquid faeces,unhealthy
39.9,Normal Breed,5.1,14,5004,7.2,3,52,1.5,16.4,3.0,2,very liquid faeces,unhealthy
39.9,Cross Breed,5.1,25,5024,7.2,2,41,2.2,16.4,3.0,3,extremely firm,unhealthy
38.6,Normal Breed,12.3,31,10458,4.2,5,81,2.9,14.1,6.1,3,ideal,healthy
38.4,Normal Breed,11.8,14,11171,3.9,3,40,2.9,13.9,5.3,2,ideal,unhealthy
39.5,Normal Breed,5.1,20,5004,6.8,5,52,1.3,16.4,3.8,3,ideal,unhealthy
38.1,Normal Breed,15.8,38,10792,4.4,3,62,4.0,14.6,5.1,2,ideal,healthy
40.2,Normal Breed,18.8,24,6026,4.3,2,56,2.7,16.4,4.8,1,ideal,healthy
40.0,Normal Breed,12.5,14,5004,7.2,3,46,1.6,16.4,3.0,2,very liquid faeces,unhealthy
39.6,Cross Breed,7.1,14,6096,7.2,3,47,1.4,16.4,3.9,2,Black faeces,unhealthy
38.7,Normal Breed,8.6,17,10756,7.2,2,67,1.9,13.5,4.4,4,ideal,healthy
40.6,Normal Breed,20.5,29,10342,3.8,5,56,2.1,13.5,4.1,2,ideal,healthy
38.5,Normal Breed,13.8,44,5344,4.4,5,77,3.8,14.2,3.1,3,ideal,healthy
39.6,Cross Breed,5.1,14,5004,7.2,3,47,1.3,16.2,3.4,2,Black faeces,unhealthy
39.9,Cross Breed,10.2,14,5506,7.0,5,49,1.8,14.1,5.8,3,very liquid faeces,unhealthy
39.3,Normal Breed,13.3,21,5004,7.2,2,51,1.7,14.8,5.9,2,very liquid faeces,unhealthy
38.5,Normal Breed,17.8,28,10559,7.1,5,51,1.6,14.5,3.7,3,ideal,unhealthy
39.6,Cross Breed,9.5,14,5343,6.4,3,38,1.3,16.0,3.0,2,extremely firm,unhealthy
38.4,Cross Breed,26.2,38,11465,3.4,3,76,2.6,13.1,6.7,3,ideal,healthy
38.6,Normal Breed,5.1,17,11138,4.9,3,50,2.4,12.8,4.8,3,very liquid faeces,unhealthy
40.1,Normal Breed,9.4,16,5004,7.2,2,53,1.3,16.4,3.0,2,Black faeces,unhealthy
40.2,Normal Breed,13.8,15,10884,3.6,3,43,1.8,16.1,4.9,2,Black faeces,healthy
38.4,Normal Breed,6.0,22,10610,7.0,2,55,2.4,16.4,6.2,3,ideal,healthy
39.2,Normal Breed,13.6,16,5004,6.7,3,56,1.7,15.9,5.7,2,Black faeces,unhealthy
40.0,Cross Breed,5.1,14,5004,7.2,2,53,1.3,14.2,6.9,2,very liquid faeces,unhealthy
38.6,Normal Breed,16.1,29,10833,4.6,3,67,2.2,13.9,6.6,2,very liquid faeces,unhealthy
40.2,Cross Breed,5.1,14,5004,7.2,3,48,2.5,15.5,3.1,1,very liquid faeces,unhealthy
40.2,Normal Breed,5.1,14,5004,7.1,5,53,1.3,16.4,3.0,3,Black faeces,unhealthy
39.9,Cross Breed,9.5,22,5004,6.6,2,47,1.3,16.4,5.5,2,Black faeces,unhealthy
38.4,Normal Breed,21.0,40,10795,4.0,3,69,3.6,13.7,4.1,2,ideal,healthy
38.4,Cross Breed,11.8,22,12104,3.2,3,83,2.4,14.4,5.4,4,ideal,healthy
38.5,Cross Breed,20.6,18,11919,4.4,3,72,2.2,13.7,4.8,3,ideal,healthy
40.3,Normal Breed,12.7,23,10322,3.6,5,41,3.1,15.0,4.6,3,ideal,healthy
38.6,Normal Breed,9.1,42,10912,4.6,5,62,3.6,14.2,5.2,4,ideal,healthy
39.7,Normal Breed,14.9,24,10776,4.0,2,42,1.5,13.8,4.0,1,very liquid faeces,unhealthy
39.6,Normal Breed,5.1,15,6408,7.2,3,51,1.7,15.9,3.0,2,extremely firm,unhealthy
38.5,Normal Breed,23.5,30,11866,4.8,5,77,2.1,14.0,6.1,2,ideal,healthy
40.2,Normal Breed,8.4,16,5654,5.6,2,42,2.1,16.4,3.0,3,Fresh blood in faeces,unhealthy
39.7,Normal Breed,10.7,14,5213,7.1,2,55,2.1,16.4,4.7,2,ideal,unhealthy
39.9,Cross Breed,13.2,14,10148,6.7,5,37,2.0,16.4,3.0,3,extremely firm,unhealthy
39.4,Cross Breed,5.1,19,6015,6.3,2,52,1.6,16.4,5.0,2,ideal,unhealthy
38.2,Cross Breed,26.5,43,11954,4.4,3,75,2.9,14.4,6.2,2,ideal,healthy
40.0,Cross Breed,9.2,24,5004,3.6,5,41,3.1,14.6,3.0,2,ideal,healthy
39.9,Cross Breed,11.0,16,5004,7.2,2,55,1.3,14.1,5.1,2,ideal,unhealthy
39.4,Normal Breed,13.7,14,6253,7.2,2,44,2.2,16.4,3.0,2,Fresh blood in faeces,unhealthy
38.2,Cross Breed,21.8,25,10855,4.8,5,83,3.6,14.3,6.1,2,ideal,healthy
38.5,Cross Breed,20.0,31,12611,3.6,5,83,3.1,14.2,5.2,3,ideal,healthy
38.2,Normal Breed,13.0,32,10698,3.7,5,80,2.7,14.3,5.1,2,ideal,healthy
39.7,Normal Breed,10.6,14,6456,7.2,3,40,1.6,16.3,3.0,1,Fresh blood in faeces,unhealthy
39.4,Cross Breed,6.3,14,5004,7.2,3,45,1.4,16.4,3.0,2,very liquid faeces,unhealthy
39.9,Normal Breed,5.1,14,5004,7.2,5,41,1.3,15.5,3.3,2,Black faeces,unhealthy
39.8,Normal Breed,11.4,17,5004,6.6,2,41,1.3,16.3,4.2,2,Fresh blood in faeces,healthy
39.8,Cross Breed,5.1,18,5004,7.2,2,51,2.5,14.1,7.0,2,Black faece,unhealthy
38.6,Normal Breed,10.4,28,11400,4.4,5,62,3.5,13.9,6.0,4,ideal,healthy
39.9,Cross Breed,9.7,15,5004,6.9,2,45,1.3,16.4,3.3,2,extremely firm,unhealthy
38.7,Cross Breed,22.5,40,12215,4.5,3,68,2.5,14.6,5.0,3,ideal,healthy
